model,horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
Hybrid_XGBoost,15,0.17262207433333376,0.02830580466666799,0.35180505500000037,0.05762496066666656,0.17262207433333376,0.02830580466666799,0.35180505500000037,0.05762496066666656
Hybrid_XGBoost,30,0.17320679991666665,0.0792305255416661,0.6743265490000007,0.10856700058333302,0.1729144371250002,0.05376816510416704,0.5130658020000005,0.08309598062499979
Hybrid_XGBoost,45,0.6972523255000009,0.3093194557499994,0.9984958430000003,0.15942031049999983,0.34769373325000047,0.13895192865277783,0.6748758156666671,0.10853742391666647
Hybrid_XGBoost,60,1.3017389510833328,0.6055921140416678,1.3191864370000008,0.21164918041666658,0.5862050377083335,0.2556119750000003,0.8359534710000005,0.1343153630416665
Hybrid_XGBoost,75,2.114316976666667,0.5590983838333337,1.635401931,0.2625319303333332,0.8918274255000004,0.316309256766667,0.9958431630000003,0.15995867649999984
Hybrid_XGBoost,90,2.60263570225,1.6917573536250006,1.955785525,0.31347394024999986,1.1769621382916668,0.5455506062430558,1.155833556666667,0.18554455379166654
Hybrid_XGBoost,105,3.388381627833333,2.022596323416667,2.279746818999999,0.3643272801666668,1.4928792082261906,0.7565571372678574,1.3163925941428574,0.2110849432738094
Hybrid_XGBoost,120,4.341241673416667,2.165208893208333,2.6004374129999994,0.41655612008333354,1.848924516375,0.9326386067604169,1.4768981965,0.23676884037499993
Hybrid_XGBoost,135,4.4168044790000005,3.3678475629999998,2.922207907,0.46641297000000004,2.1342445122222227,1.203217379675926,1.6374881643333334,0.26228485477777774
Hybrid_XGBoost,150,3.9457927193749995,3.0871472595,2.612033270625,0.4487679480000001,2.3153993329375,1.3916103676583336,1.7349426749624999,0.28093316409999997
Hybrid_XGBoost,165,3.96983749975,2.387963396,2.30543626425,0.43051794599999993,2.4658028026477274,1.4821879156893942,1.786805728534091,0.2945317806363636
Hybrid_XGBoost,180,3.719285120125,2.6334562725,1.9955685778750003,0.413127084,2.5702596624375,1.5781269454236113,1.8042026326458334,0.3044147225833333
Hybrid_XGBoost,195,3.2914992004999997,3.580176829,1.6827371615000002,0.393854072,2.625739626903846,1.7321307826217949,1.7948591348653846,0.3112946725384615
Hybrid_XGBoost,210,2.7953597808749997,3.0613610455,1.3725625251250002,0.37571681,2.6378553521875,1.8270758013988095,1.7646950913125001,0.31589625378571423
Hybrid_XGBoost,225,2.4730964612499995,2.0749745619999995,1.0659655187500001,0.35825629800000003,2.626871426125,1.843602385438889,1.7181131198083335,0.3187202567333333
Hybrid_XGBoost,240,1.574400241625,1.7295104784999995,0.7560978323750002,0.34086547599999995,2.56109197709375,1.8364716412552085,1.65798716434375,0.32010433293749996
Hybrid_XGBoost,255,0.816800322,0.819919595,0.443645716,0.32192302400000006,2.458486585617647,1.7766744620637256,1.5865553144411766,0.3202113147647059
Hybrid_XGBoost,270,0.08281733237499989,0.10457359737499994,0.5120362535,0.16415703862499997,2.3265049604375,1.6837799695810185,1.5268598110555558,0.3115416327569444
Hybrid_XGBoost,285,0.5876200867500001,0.5026208602499999,1.4641405229999997,0.007067803250000115,2.2349847039276316,1.6216137006688596,1.523558795894737,0.2955166943618421
Hybrid_XGBoost,300,1.7792754411250002,0.8430207778750001,2.4195154925,0.149951742125,2.2121992407874997,1.5826840545291667,1.568356630725,0.28823844675
Hybrid_XGBoost,315,2.9785705955,1.2942731354999994,3.3778541619999998,0.31885616749999995,2.2486931148214286,1.5689502012420635,1.6545231798333333,0.28969643345238094
Hybrid_XGBoost,330,3.7351320498749994,1.941258493125,4.3335361315,0.476622152875,2.3162585209602273,1.5858733054185605,1.776296495818182,0.2981930570625
Hybrid_XGBoost,345,4.28021880425,2.4984837507499993,5.285640401,0.6337113682499999,2.401648098494565,1.6255520204329712,1.928876665608696,0.31278080972282607
Hybrid_XGBoost,360,0.6083791358409363,3.4674614083749997,6.2410153704999995,0.7907309236250001,2.3269285583839974,1.7022982449305555,2.1085491116458335,0.3326953978020833
Hybrid_XGBoost,375,2.8406883655633934,4.481747866,7.19935404,0.949494509,2.347478950671173,1.8134762297733333,2.31218130878,0.35736736225
Hybrid_XGBoost,390,1.8831771870991736,3.5320956735,6.229000134875,1.3070987105,2.3296211905337887,1.8795769776089744,2.4628281867067305,0.3938954910288462
Hybrid_XGBoost,405,4.906146720249999,2.0705815810000003,5.25506852975,1.657673412,2.4250480620047594,1.8866512221790122,2.5662444957083332,0.44070208069444444
Hybrid_XGBoost,420,3.728769823875,1.2990276884999998,4.284407624625,2.0208839135,2.4716095535001252,1.865664667404762,2.6276074645982144,0.49713714615178567
Hybrid_XGBoost,435,2.7605538275,1.8215735960000001,3.3397639194999997,2.379293315,2.4815731491552935,1.864144285632184,2.652164583732759,0.5620390830086207
Hybrid_XGBoost,450,2.756886661125,1.6667080535000003,2.368233714375,2.7368975165,2.49075026622095,1.8575630778944443,2.6427002214208333,0.634534364125
Hybrid_XGBoost,465,2.3312330147500004,0.1454457109999998,1.3976155692499996,3.093824958,2.4856045484315645,1.8023334854139785,2.6025362003830645,0.713866318766129
Hybrid_XGBoost,480,1.5409406583750005,0.16776035850000004,0.42695466412500005,3.4506827194999996,2.456083801867297,1.7512530751979167,2.534549277375,0.7993918312890624
Hybrid_XGBoost,495,0.192254708,0.10122592400000001,0.543773801,3.799166271,2.3874829202349543,1.7012522524343434,2.474222747787879,0.8902940870378787
Hybrid_XGBoost,510,0.5954703542500001,0.0194234125,0.545728068625,3.887104405875,2.334776668294221,1.6517866983186273,2.417502316047794,0.9784355670036763
Hybrid_XGBoost,525,0.1756426505,0.09979132499999999,0.5467703362499999,3.9743657907500003,2.2730871249286717,1.6074439733666668,2.3640528309107145,1.0640335733964286
Hybrid_XGBoost,540,0.25676666675000004,0.3776720405,0.5478553538750001,4.061574725624999,2.217078223312597,1.573283641898148,2.3136029009930557,1.1472986054027778
Hybrid_XGBoost,555,0.431490643,0.17082,0.5501255715,4.1507804605,2.168819099520365,1.5353792191441442,2.2659413515472973,1.2284737906756755
Hybrid_XGBoost,570,0.026496799250000008,0.0728684815,0.552079859125,4.2387185953749995,2.112442196881671,1.4968920944692983,2.2208397333256578,1.3076907592203946
Hybrid_XGBoost,585,0.3019024655,0.17852921300000002,0.55312213675,4.32597996025,2.066018101205218,1.4630879180213676,2.178077743669872,1.3850827900160256
Hybrid_XGBoost,600,0.2871966017499999,0.3040053025,0.5525083243749999,4.413188865125,2.021547563718838,1.4341108526333333,2.1374385081875,1.46078544189375
Hybrid_XGBoost,615,0.15575607199999997,0.302307728,0.558089642,4.5015844000000005,1.9760404541647196,1.4065058983739838,2.0989178041341465,1.534951270140244
Hybrid_XGBoost,630,0.8143690754999999,0.553797236875,1.5764059883125001,3.9676466140624997,1.9483816118155597,1.3862033111954364,2.0864770466145837,1.5928725878526786
Hybrid_XGBoost,645,1.8013845389999998,0.8898131177500002,2.5901862646250002,3.434611098125,1.9449630752384535,1.3746593532083333,2.0981912144752908,1.6357037159985466
Hybrid_XGBoost,660,2.4330547325,1.5028147056250003,3.6059344809375,2.9007336021875,1.9560560674489431,1.3775719748541666,2.1324581068948865,1.6644543952301136
Hybrid_XGBoost,675,3.183973966,2.5389803735000003,4.62871582725,2.36837325625,1.9833431318611887,1.4033810503796298,2.187930500680556,1.680097036586111
Hybrid_XGBoost,690,3.8298462395,2.6883530113750003,5.6470321735625,1.8344354703124999,2.0234845037663804,1.4313152234447464,2.263128363134511,1.683452219927989
Hybrid_XGBoost,705,4.3061974329999995,2.7348522292500013,6.655343019875,1.301399954375,2.0720528639628406,1.4590500533554964,2.3565797388098404,1.6753234483204786
Hybrid_XGBoost,720,4.220632716499999,2.940430327125,7.672486466187499,0.7675224584374998,2.116814944224031,1.4899121423923611,2.4673277956302084,1.6564109276979166
Hybrid_XGBoost,735,3.7989147800000005,2.6733972849999996,0.864192993316963,0.23584621249999999,2.151143512301092,1.514064900404762,2.4346107588483052,1.6274198110612246
Hybrid_XGBoost,750,2.002760033,4.301934555,1.751260851,0.737468597,2.14817584271507,1.5698222934966668,2.420943760691339,1.6096207867799999
Hybrid_XGBoost,765,0.912592582,0.18690486099999992,1.598019836,0.275301064,2.1239487199559512,1.5427062654084966,2.4048079974620973,1.5834576549607842
Hybrid_XGBoost,780,1.095558661,0.48955395700000026,0.47215584,0.357073886,2.104171988052952,1.5224533364006412,2.3676416098185955,1.5598733517115382
Hybrid_XGBoost,795,1.5610604462621605,1.5146515558794253,8.107700933688694,0.5298930967918147,2.093924600471994,1.5223061329945804,2.475944615929352,1.540439761996072
Hybrid_XGBoost,810,1.3449363631046207,1.6873432116428062,8.752976550748029,1.5239627670538214,2.0800544479281533,1.5253623751917698,2.592185948055624,1.5401346324601042
Hybrid_XGBoost,825,9.419051184,1.211113565209942,1.921911443,5.751146575000001,2.213490752220369,1.5196487604648274,2.5799991388727945,1.6166984859608298
Hybrid_XGBoost,840,4.389852502,4.014775045,0.5515256819999999,0.5476658419999999,2.252354354895005,1.5642045869743841,2.5437763985714943,1.597608617318672
Hybrid_XGBoost,855,1.6188396719999998,1.1628074609999999,2.025534134,0.490158007,2.2412400622126367,1.5571625321327283,2.534684429017609,1.5781796592429058
Hybrid_XGBoost,870,4.662140883,3.992917076,2.689459587,0.598862295,2.2829797315365568,1.59915830013044,2.5373529662242014,1.5612948771007868
Hybrid_XGBoost,885,2.762301698,2.8006332929999997,1.3547369249999999,0.7076445419999999,2.2911038326630555,1.6195222830604326,2.517308626542435,1.5468262273533158
Hybrid_XGBoost,900,0.5946821270000002,0.08159962799999998,2.788682828,0.288006261,2.2628301375686712,1.5938902388094252,2.5218315299000613,1.5258458945807607
Hybrid_XGBoost,915,0.37941041508707374,2.482448701,3.453813414,4.3342962400000005,2.2319544044132353,1.6084567709764837,2.537109921442683,1.5718860641777974
Hybrid_XGBoost,930,0.479268264,0.253226224,0.707030747,0.5652111660000001,2.203685273116248,1.5865982137671855,2.507592515403285,1.5556493722717037
Hybrid_XGBoost,945,3.6541398979999995,0.2686721814,4.487701995,2.893478298,2.2267083624001165,1.5656787529359606,2.539022824603233,1.576884752045169
Hybrid_XGBoost,960,0.9010173639999999,1.714940522,0.10177756699999996,0.43266931799999997,2.205994440550115,1.568010968077586,2.5009408674531826,1.559006385888213
Hybrid_XGBoost,975,1.688212183,2.046830283,1.3201493759999998,0.595656345,2.1980285596647287,1.5753774190763925,2.4827748445077487,1.5441856160283942
Hybrid_XGBoost,990,1.7205716949999998,0.918084022,0.93834541,0.7043332720000001,2.1907943647455657,1.5654184282115986,2.459374398530359,1.5314605805128125
Hybrid_XGBoost,1005,1.425163413,1.170441808,0.128344212,0.14619358900000007,2.1793670371075726,1.5595232547756046,2.4245829032090103,1.5107849537738154
Hybrid_XGBoost,1020,4.750456176,4.40202642,3.862946999,0.8215442439999999,2.2171771715030495,1.6013247719112575,2.4457353163824074,1.500649060983024
Hybrid_XGBoost,1035,0.33439804900000003,0.8480155360000001,6.4467599270000004,0.14453135899999997,2.1898905175537298,1.5904072467531234,2.5037211803044013,1.4809951812441395
Hybrid_XGBoost,1050,0.881701401,1.632562877,2.983566976,0.765246569,2.171202101602962,1.5910094700423645,2.5105761202429098,1.4707702010692234
Hybrid_XGBoost,1065,0.9777539372568727,2.431474476,3.702382671,4.596872371,2.154392972527665,1.6028470053375423,2.527362128000052,1.5147998090964174
Hybrid_XGBoost,1080,3.289639021,1.0892936105,4.036013893,2.6134621080000002,2.1701602787564473,1.595714319298132,2.5483156247361625,1.5300590076923006
Hybrid_XGBoost,1095,0.2846526079999999,0.7359822449999998,4.360440155,0.631416175,2.1443314065543047,1.583937167595418,2.5731392484384066,1.517748831901995
Hybrid_XGBoost,1110,5.652345766573091,0.576788461,4.709318111887277,3.9003102779999996,2.191737006014018,1.5703270499387232,2.602006530376905,1.5499456082006167
Hybrid_XGBoost,1125,3.247263545,1.783338876,0.8210695990000001,0.40840411,2.2058106932004975,1.5731672076195402,2.578260704625213,1.5347250548912752
Hybrid_XGBoost,1140,4.392410434,3.40560314,1.708021623,5.066377079,2.2345817424215437,1.5972782067298095,2.5668101903933023,1.581194160471653
Hybrid_XGBoost,1155,0.662607598,5.644199621,7.65735672,3.8431352399999996,2.2141664937926926,1.6498356276943573,2.6329211842842986,1.610570018647346
Hybrid_XGBoost,1170,0.13468506400000002,0.032750465000000006,2.104243683,0.31401955400000003,2.187506475462017,1.6291037666341732,2.626143267601166,1.5939475767928928
Hybrid_XGBoost,1185,1.213985319,0.6359013710000001,3.7514351630000005,0.7645611990000001,2.1751834228485736,1.6165315844109558,2.6403874688087465,1.5834490150486789
Hybrid_XGBoost,1200,1.681700021,1.8846872399999999,1.6362043929999999,0.341268335,2.1690148803254665,1.619883530105819,2.6278351803611373,1.5679217565480703
