target,forecast_points,MAE,RMSE,R2,MaxAE,P95_AE,Bias,Correlation
x_error,95,2.3710718154907227,3.058888076515458,-0.25383007526397705,7.5059295,5.6722097,-0.1674806,-0.3684810711923959
y_error,95,2.074855327606201,2.64002261542257,-0.2737981081008911,5.6353106,4.9458747,-0.033494785,-0.33435852426643675
z_error,95,3.0429298877716064,3.81608063197969,-0.30869340896606445,10.56128,7.0807557,-0.04518075,-0.04963660223933268
satclockerror,95,2.2494235038757324,2.7284944788796723,-0.8889074325561523,6.9400816,5.2660465,0.7476603,-0.16191090088558663
