target,forecast_points,MAE,RMSE,R2,MaxAE,P95_AE,Bias,Correlation
x_error,95,2.5967886447906494,3.261812896283496,-0.4257047176361084,7.2409425,6.165182,-0.17477372,-0.3911396066697813
y_error,95,2.2615914344787598,2.779954672931022,-0.4124099016189575,6.7413054,5.2704725,0.04318164,-0.2377441123914696
z_error,95,2.8331966400146484,3.6492975107659444,-0.1967993974685669,10.563183,6.4070983,-0.04534341,0.016271356214214407
satclockerror,95,2.1128311157226562,2.615980091853319,-0.7363344430923462,7.7611523,4.8199368,0.73834646,0.022962044295931558
